id,name,recipe1,recipe2,recipe3,recipe4,recipe5,recipe6
1585,Crowno's Wings,,,,,,
1586,Cenx's Wings,,,,,,
1587,Cenx's Dress,,,,,,
1588,Cenx's Dress Pants,,,,,,
1589,Palladium Column,934,935,,,,
1590,Palladium Column Wall,936,,,,,
1591,Bubblegum Block,176,177,,,,
1592,Bubblegum Block Wall,178,,,,,
1593,Titanstone Block,1461,1462,,,,
1594,Titanstone Block Wall,1463,,,,,
1595,Magic Cuffs,772,,,,,
1596,Music Box (Snow),,,,,,
1597,Music Box (Space),,,,,,
1598,Music Box (Crimson),,,,,,
1599,Music Box (Boss 4),,,,,,
1600,Music Box (Alt Overworld Day),,,,,,
1601,Music Box (Rain),,,,,,
1602,Music Box (Ice),,,,,,
1603,Music Box (Desert),,,,,,
1604,Music Box (Ocean),,,,,,
1605,Music Box (Dungeon),,,,,,
1606,Music Box (Plantera),,,,,,
1607,Music Box (Boss 5),,,,,,
1608,Music Box (Temple),,,,,,
1609,Music Box (Eclipse),,,,,,
1610,Music Box (Mushrooms),,,,,,
1611,Butterfly Dust,,,,,,
1612,Ankh Charm,41,,,,,
1613,Ankh Shield,42,,,,,
1614,Blue Flare,,,,,,
1615,Angler Fish Banner,,,,,,
1616,Angry Nimbus Banner,,,,,,
1617,Anomura Fungus Banner,,,,,,
1618,Antlion Banner,,,,,,
1619,Arapaima Banner,,,,,,
1620,Armored Skeleton Banner,,,,,,
1621,Cave Bat Banner,,,,,,
1622,Bird Banner,,,,,,
1623,Black Recluse Banner,,,,,,
1624,Blood Feeder Banner,,,,,,
1625,Blood Jelly Banner,,,,,,
1626,Blood Crawler Banner,,,,,,
1627,Bone Serpent Banner,,,,,,
1628,Bunny Banner,,,,,,
1629,Chaos Elemental Banner,,,,,,
1630,Mimic Banner,,,,,,
1631,Clown Banner,,,,,,
1632,Corrupt Bunny Banner,,,,,,
1633,Corrupt Goldfish Banner,,,,,,
1634,Crab Banner,,,,,,
1635,Crimera Banner,,,,,,
1636,Crimson Axe Banner,,,,,,
1637,Cursed Hammer Banner,,,,,,
1638,Demon Banner,,,,,,
1639,Demon Eye Banner,,,,,,
1640,Derpling Banner,,,,,,
1641,Eater of Souls Banner,,,,,,
1642,Enchanted Sword Banner,,,,,,
1643,Zombie Eskimo Banner,,,,,,
1644,Face Monster Banner,,,,,,
1645,Floaty Gross Banner,,,,,,
1646,Flying Fish Banner,,,,,,
1647,Flying Snake Banner,,,,,,
1648,Frankenstein Banner,,,,,,
1649,Fungi Bulb Banner,,,,,,
1650,Fungo Fish Banner,,,,,,
1651,Gastropod Banner,,,,,,
1652,Goblin Thief Banner,,,,,,
1653,Goblin Sorcerer Banner,,,,,,
1654,Goblin Peon Banner,,,,,,
1655,Goblin Scout Banner,,,,,,
1656,Goblin Warrior Banner,,,,,,
1657,Goldfish Banner,,,,,,
1658,Harpy Banner,,,,,,
1659,Hellbat Banner,,,,,,
1660,Herpling Banner,,,,,,
1661,Hornet Banner,,,,,,
1662,Ice Elemental Banner,,,,,,
1663,Icy Merman Banner,,,,,,
1664,Fire Imp Banner,,,,,,
1665,Blue Jellyfish Banner,,,,,,
1666,Jungle Creeper Banner,,,,,,
1667,Lihzahrd Banner,,,,,,
1668,Man Eater Banner,,,,,,
1669,Meteor Head Banner,,,,,,
1670,Moth Banner,,,,,,
1671,Mummy Banner,,,,,,
1672,Mushi Ladybug Banner,,,,,,
1673,Parrot Banner,,,,,,
1674,Pigron Banner,,,,,,
1675,Piranha Banner,,,,,,
1676,Pirate Deckhand Banner,,,,,,
1677,Pixie Banner,,,,,,
1678,Raincoat Zombie Banner,,,,,,
1679,Reaper Banner,,,,,,
1680,Shark Banner,,,,,,
1681,Skeleton Banner,,,,,,
1682,Dark Caster Banner,,,,,,
1683,Blue Slime Banner,,,,,,
1684,Snow Flinx Banner,,,,,,
1685,Wall Creeper Banner,,,,,,
1686,Spore Zombie Banner,,,,,,
1687,Swamp Thing Banner,,,,,,
1688,Giant Tortoise Banner,,,,,,
1689,Toxic Sludge Banner,,,,,,
1690,Umbrella Slime Banner,,,,,,
1691,Unicorn Banner,,,,,,
1692,Vampire Banner,,,,,,
1693,Vulture Banner,,,,,,
1694,Nymph Banner,,,,,,
1695,Werewolf Banner,,,,,,
1696,Wolf Banner,,,,,,
1697,World Feeder Banner,,,,,,
1698,Worm Banner,,,,,,
1699,Wraith Banner,,,,,,
1700,Wyvern Banner,,,,,,
1701,Zombie Banner,,,,,,
1702,Glass Platform,524,,,,,
1703,Glass Chair,512,,,,,
1704,Golden Chair,,,,,,
1705,Golden Toilet,,,,,,
1706,Bar Stool,57,,,,,
1707,Honey Chair,622,,,,,
1708,Steampunk Chair,1376,,,,,
1709,Glass Door,519,,,,,
1710,Golden Door,,,,,,
1711,Honey Door,629,,,,,
1712,Steampunk Door,1382,,,,,
1713,Glass Table,526,,,,,
1714,Banquet Table,55,,,,,
1715,Bar,56,,,,,
1716,Golden Table,,,,,,
1717,Honey Table,635,,,,,
1718,Steampunk Table,1388,,,,,
1719,Glass Bed,507,,,,,
1720,Golden Bed,,,,,,
1721,Honey Bed,618,,,,,
1722,Steampunk Bed,1372,,,,,
1723,Living Wood Wall,764,,,,,
1724,Fart in a Jar,424,,,,,
1725,Pumpkin,1061,,,,,
1726,Pumpkin Wall,1087,,,,,
1727,Hay,598,,,,,
1728,Hay Wall,599,,,,,
1729,Spooky Wood,1353,,,,,
1730,Spooky Wood Wall,1354,,,,,
1731,Pumpkin Helmet,1077,,,,,
1732,Pumpkin Breastplate,1066,,,,,
1733,Pumpkin Leggings,1080,,,,,
1734,Candy Apple,,,,,,
1735,Soul Cake,,,,,,
1736,Nurse Hat,,,,,,
1737,Nurse Shirt,,,,,,
1738,Nurse Pants,,,,,,
1739,Wizard's Hat,,,,,,
1740,Guy Fawkes Mask,,,,,,
1741,Dye Trader Robe,,,,,,
1742,Steampunk Goggles,,,,,,
1743,Cyborg Helmet,,,,,,
1744,Cyborg Shirt,,,,,,
1745,Cyborg Pants,,,,,,
1746,Creeper Mask,,,,,,
1747,Creeper Shirt,,,,,,
1748,Creeper Pants,,,,,,
1749,Cat Mask,,,,,,
1750,Cat Shirt,,,,,,
1751,Cat Pants,,,,,,
1752,Ghost Mask,,,,,,
1753,Ghost Shirt,,,,,,
1754,Pumpkin Mask,,,,,,
1755,Pumpkin Shirt,,,,,,
1756,Pumpkin Pants,,,,,,
1757,Robot Mask,,,,,,
1758,Robot Shirt,,,,,,
1759,Robot Pants,,,,,,
1760,Unicorn Mask,,,,,,
1761,Unicorn Shirt,,,,,,
1762,Unicorn Pants,,,,,,
1763,Vampire Mask,,,,,,
1764,Vampire Shirt,,,,,,
1765,Vampire Pants,,,,,,
1766,Witch Hat,,,,,,
1767,Leprechaun Hat,,,,,,
1768,Leprechaun Shirt,,,,,,
1769,Leprechaun Pants,,,,,,
1770,Pixie Shirt,,,,,,
1771,Pixie Pants,,,,,,
1772,Princess Hat,,,,,,
1774,Goodie Bag,,,,,,
1775,Witch Dress,,,,,,
1776,Witch Boots,,,,,,
1777,Bride of Frankenstein Mask,,,,,,
1778,Bride of Frankenstein Dress,,,,,,
1779,Karate Tortoise Mask,,,,,,
1780,Karate Tortoise Shirt,,,,,,
1781,Karate Tortoise Pants,,,,,,
1782,Candy Corn Rifle,,,,,,
1783,Candy Corn,,,,,,
1784,Jack 'O Lantern Launcher,,,,,,
1785,Explosive Jack 'O Lantern,,,,,,
1786,Sickle,,,,,,
1787,Pumpkin Pie,1083,,,,,
1788,Scarecrow Hat,,,,,,
1789,Scarecrow Shirt,,,,,,
1790,Scarecrow Pants,,,,,,
1791,Cauldron,,,,,,
1792,Pumpkin Chair,1069,,,,,
1793,Pumpkin Door,1075,,,,,
1794,Pumpkin Table,1086,,,,,
1795,Pumpkin Work Bench,1088,,,,,
1796,Pumpkin Platform,1084,,,,,
1797,Tattered Fairy Wings,,,,,,
1798,Spider Egg,,,,,,
1799,Magical Pumpkin Seed,,,,,,
1800,Bat Hook,,,,,,
1801,Bat Scepter,,,,,,
1802,Raven Staff,,,,,,
1803,Jungle Key Mold,,,,,,
1804,Corruption Key Mold,,,,,,
1805,Crimson Key Mold,,,,,,
1806,Hallowed Key Mold,,,,,,
1807,Frozen Key Mold,,,,,,
1808,Hanging Jack 'O Lantern,596,,,,,
1809,Rotten Egg,,,,,,
1810,Unlucky Yarn,,,,,,
1811,Black Fairy Dust,,,,,,
1812,Jackelier,679,,,,,
1813,Jack 'O Lantern,678,,,,,
1814,Spooky Chair,1337,,,,,
1815,Spooky Door,1343,,,,,
1816,Spooky Table,1352,,,,,
1817,Spooky Work Bench,1355,,,,,
1818,Spooky Platform,1350,,,,,
1819,Reaper Hood,,,,,,
1820,Reaper Robe,,,,,,
1821,Fox Mask,,,,,,
1822,Fox Shirt,,,,,,
1823,Fox Pants,,,,,,
1824,Cat Ears,,,,,,
1825,Bloody Machete,,,,,,
1826,The Horseman's Blade,,,,,,
1827,Bladed Glove,,,,,,
1828,Pumpkin Seed,,,,,,
1829,Spooky Hook,,,,,,
1830,Spooky Wings,,,,,,
1831,Spooky Twig,,,,,,
1832,Spooky Helmet,1345,,,,,
1833,Spooky Breastplate,1334,,,,,
1834,Spooky Leggings,1348,,,,,
1835,Stake Launcher,,,,,,
1836,Stake,,,,,,
1837,Cursed Sapling,,,,,,
1838,Space Creature Mask,,,,,,
1839,Space Creature Shirt,,,,,,
1840,Space Creature Pants,,,,,,
1841,Wolf Mask,,,,,,
1842,Wolf Shirt,,,,,,
1843,Wolf Pants,,,,,,
1844,Pumpkin Moon Medallion,1081,,,,,
1845,Necromantic Scroll,,,,,,
1846,Jacking Skeletron,,,,,,
1847,Bitter Harvest,,,,,,
1848,Blood Moon Countess,,,,,,
1849,Hallow's Eve,,,,,,
1850,Morbid Curiosity,,,,,,
1851,Treasure Hunter Shirt,,,,,,
1852,Treasure Hunter Pants,,,,,,
1853,Dryad Coverings,,,,,,
1854,Dryad Loincloth,,,,,,
1855,Mourning Wood Trophy,,,,,,
1856,Pumpking Trophy,,,,,,
1857,Jack 'O Lantern Mask,,,,,,
1858,Sniper Scope,1292,,,,,
1859,Heart Lantern,601,,,,,
1860,Jellyfish Diving Gear,680,,,,,
1861,Arctic Diving Gear,47,,,,,
1862,Frostspark Boots,477,,,,,
1863,Fart in a Balloon,423,,,,,
1864,Papyrus Scarab,979,,,,,
1865,Celestial Stone,224,,,,,
1866,Hoverboard,,,,,,
1867,Candy Cane,,,,,,
1868,Sugar Plum,,,,,,
1869,Present,,,,,,
1870,Red Ryder,,,,,,
1871,Festive Wings,,,,,,
1872,Pine Tree Block,,,,,,
1873,Christmas Tree,,,,,,
1874,Star Topper 1,,,,,,
1875,Star Topper 2,,,,,,
1876,Star Topper 3,,,,,,
1877,Bow Topper,,,,,,
1878,White Garland,,,,,,
1879,White and Red Garland,,,,,,
1880,Red Garland,,,,,,
1881,Red and Green Garland,,,,,,
1882,Green Garland,,,,,,
1883,Green and White Garland,,,,,,
1884,Multicolored Bulb,,,,,,
1885,Red Bulb,,,,,,
1886,Yellow Bulb,,,,,,
1887,Green Bulb,,,,,,
1888,Red and Green Bulb,,,,,,
1889,Yellow and Green Bulb,,,,,,
1890,Red and Yellow Bulb,,,,,,
1891,White Bulb,,,,,,
1892,White and Red Bulb,,,,,,
1893,White and Yellow Bulb,,,,,,
1894,White and Green Bulb,,,,,,
1895,Multicolored Lights,,,,,,
1896,Red Lights,,,,,,
1897,Green Lights,,,,,,
1898,Blue Lights,,,,,,
1899,Yellow Lights,,,,,,
1900,Red and Yellow Lights,,,,,,
1901,Red and Green Lights,,,,,,
1902,Yellow and Green Lights,,,,,,
1903,Blue and Green Lights,,,,,,
1904,Red and Blue Lights,,,,,,
1905,Blue and Yellow Lights,,,,,,
1906,Giant Bow,,,,,,
1907,Reindeer Antlers,,,,,,
1908,Holly,,,,,,
1909,Candy Cane Sword,,,,,,
1910,Elf Melter,,,,,,
1911,Christmas Pudding,,,,,,
1912,Eggnog,,,,,,
1913,Star Anise,,,,,,
1914,Reindeer Bells,,,,,,
1915,Candy Cane Hook,,,,,,
1916,Christmas Hook,,,,,,
1917,Candy Cane Pickaxe,,,,,,
1918,Fruitcake Chakram,,,,,,
1919,Sugar Cookie,,,,,,
1920,Gingerbread Cookie,,,,,,
1921,Hand Warmer,,,,,,
1922,Coal,,,,,,
1923,Toolbox,,,,,,
1924,Pine Door,1022,,,,,
1925,Pine Chair,1021,,,,,
1926,Pine Table,1023,,,,,
1927,Dog Whistle,,,,,,
1928,Christmas Tree Sword,,,,,,
1929,Chain Gun,,,,,,
1930,Razorpine,,,,,,
1931,Blizzard Staff,,,,,,
1932,Mrs. Claus Hat,,,,,,
1933,Mrs. Claus Shirt,,,,,,
1934,Mrs. Claus Heels,,,,,,
1935,Parka Hood,,,,,,
1936,Parka Coat,,,,,,
1937,Parka Pants,,,,,,
1938,Snow Hat,,,,,,
1939,Ugly Sweater,,,,,,
1940,Tree Mask,,,,,,
1941,Tree Shirt,,,,,,
1942,Tree Trunks,,,,,,
1943,Elf Hat,,,,,,
1944,Elf Shirt,,,,,,
1945,Elf Pants,,,,,,
1946,Snowman Cannon,,,,,,
1947,North Pole,,,,,,
1948,Christmas Tree Wallpaper,,,,,,
1949,Ornament Wallpaper,,,,,,
1950,Candy Cane Wallpaper,,,,,,
1951,Festive Wallpaper,,,,,,
1952,Stars Wallpaper,,,,,,
1953,Squiggles Wallpaper,,,,,,
1954,Snowflake Wallpaper,,,,,,
1955,Krampus Horn Wallpaper,,,,,,
1956,Bluegreen Wallpaper,,,,,,
1957,Grinch Finger Wallpaper,,,,,,
1958,Naughty Present,874,,,,,
1959,Baby Grinch's Mischief Whistle,,,,,,
1960,Ice Queen Trophy,,,,,,
1961,Santa-NK1 Trophy,,,,,,
1962,Everscream Trophy,,,,,,
1963,Music Box (Pumpkin Moon),,,,,,
1964,Music Box (Alt Underground),,,,,,
1965,Music Box (Frost Moon),,,,,,
1966,Brown Paint,,,,,,
1967,Shadow Paint,,,,,,
1968,Negative Paint,,,,,,
1969,Team Dye,,,,,,
1970,Amethyst Gemspark Block,32,33,34,,,
1971,Topaz Gemspark Block,1466,1467,1468,,,
1972,Sapphire Gemspark Block,1170,1171,1172,,,
1973,Emerald Gemspark Block,405,406,407,,,
1974,Ruby Gemspark Block,1157,1158,1159,,,
1975,Diamond Gemspark Block,341,342,343,,,
1976,Amber Gemspark Block,27,28,29,,,
1977,Life Hair Dye,,,,,,
1978,Mana Hair Dye,,,,,,
1979,Depth Hair Dye,,,,,,
1980,Money Hair Dye,,,,,,
1981,Time Hair Dye,,,,,,
1982,Team Hair Dye,,,,,,
1983,Biome Hair Dye,,,,,,
1984,Party Hair Dye,,,,,,
1985,Rainbow Hair Dye,,,,,,
1986,Speed Hair Dye,,,,,,
1987,Angel Halo,,,,,,
1988,Fez,,,,,,
1989,Womannequin,1538,,,,,
1990,Hair Dye Remover,,,,,,
1991,Bug Net,,,,,,
1992,Firefly,,,,,,
1993,Firefly in a Bottle,428,,,,,
1994,Monarch Butterfly,,,,,,
1995,Purple Emperor Butterfly,,,,,,
1996,Red Admiral Butterfly,,,,,,
1997,Ulysses Butterfly,,,,,,
1998,Sulphur Butterfly,,,,,,
1999,Tree Nymph Butterfly,,,,,,
2000,Zebra Swallowtail Butterfly,,,,,,
2001,Julia Butterfly,,,,,,
2002,Worm,,,,,,
2003,Mouse,,,,,,
2004,Lightning Bug,,,,,,
2005,Lightning Bug in a Bottle,721,,,,,
2006,Snail,,,,,,
2007,Glowing Snail,,,,,,
2008,Fancy Gray Wallpaper,,,,,,
2009,Ice Floe Wallpaper,,,,,,
2010,Music Wallpaper,,,,,,
2011,Purple Rain Wallpaper,,,,,,
2012,Rainbow Wallpaper,,,,,,
2013,Sparkle Stone Wallpaper,,,,,,
2014,Starlit Heaven Wallpaper,,,,,,
2015,Bird,,,,,,
2016,Blue Jay,,,,,,
2017,Cardinal,,,,,,
2018,Squirrel,,,,,,
2019,Bunny,,,,,,
2020,Cactus Bookcase,187,,,,,
2021,Ebonwood Bookcase,379,,,,,
2022,Flesh Bookcase,452,,,,,
2023,Honey Bookcase,619,,,,,
2024,Steampunk Bookcase,1373,,,,,
2025,Glass Bookcase,508,,,,,
2026,Rich Mahogany Bookcase,1129,,,,,
2027,Pearlwood Bookcase,990,,,,,
2028,Spooky Bookcase,1333,,,,,
2029,Skyware Bookcase,1253,,,,,
2030,Lihzahrd Bookcase,724,,,,,
2031,Frozen Bookcase,480,,,,,
2032,Cactus Lantern,201,,,,,
2033,Ebonwood Lantern,397,,,,,
2034,Flesh Lantern,465,,,,,
2035,Honey Lantern,632,,,,,
2036,Steampunk Lantern,1385,,,,,
2037,Glass Lantern,522,,,,,
2038,Rich Mahogany Lantern,1147,,,,,
2039,Pearlwood Lantern,1008,,,,,
2040,Frozen Lantern,490,,,,,
2041,Lihzahrd Lantern,736,,,,,
2042,Skyware Lantern,1261,,,,,
2043,Spooky Lantern,1347,,,,,
2044,Frozen Door,487,,,,,
2045,Cactus Candle,190,,,,,
2046,Ebonwood Candle,383,,,,,
2047,Flesh Candle,454,,,,,
2048,Glass Candle,511,,,,,
2049,Frozen Candle,482,,,,,
2050,Rich Mahogany Candle,1133,,,,,
2051,Pearlwood Candle,994,,,,,
2052,Lihzahrd Candle,728,,,,,
2053,Skyware Candle,1255,,,,,
2054,Pumpkin Candle,1068,,,,,
2055,Cactus Chandelier,192,,,,,
2056,Ebonwood Chandelier,385,,,,,
2057,Flesh Chandelier,456,,,,,
2058,Honey Chandelier,623,,,,,
2059,Frozen Chandelier,484,,,,,
2060,Rich Mahogany Chandelier,1135,,,,,
2061,Pearlwood Chandelier,996,,,,,
2062,Lihzahrd Chandelier,730,,,,,
2063,Skyware Chandelier,1257,,,,,
2064,Spooky Chandelier,1338,,,,,
2065,Glass Chandelier,513,,,,,
2066,Cactus Bed,186,,,,,
2067,Flesh Bed,448,,,,,
2068,Frozen Bed,479,,,,,
2069,Lihzahrd Bed,723,,,,,
2070,Skyware Bed,1252,,,,,
2071,Spooky Bed,1332,,,,,
2072,Cactus Bathtub,184,185,,,,
2073,Ebonwood Bathtub,376,377,,,,
2074,Flesh Bathtub,447,,,,,
2075,Glass Bathtub,506,,,,,
2076,Frozen Bathtub,478,,,,,
2077,Rich Mahogany Bathtub,1126,1127,,,,
2078,Pearlwood Bathtub,987,988,,,,
2079,Lihzahrd Bathtub,722,,,,,
2080,Skyware Bathtub,1251,,,,,
2081,Spooky Bathtub,1330,1331,,,,
2082,Cactus Lamp,200,,,,,
2083,Ebonwood Lamp,396,,,,,
2084,Flesh Lamp,464,,,,,
2085,Glass Lamp,521,,,,,
2086,Frozen Lamp,489,,,,,
2087,Rich Mahogany Lamp,1146,,,,,
2088,Pearlwood Lamp,1007,,,,,
2089,Lihzahrd Lamp,735,,,,,
2090,Skyware Lamp,1260,,,,,
2091,Spooky Lamp,1346,,,,,
2092,Cactus Candelabra,189,,,,,
2093,Ebonwood Candelabra,382,,,,,
2094,Flesh Candelabra,453,,,,,
2095,Honey Candelabra,620,,,,,
2096,Steampunk Candelabra,1374,,,,,
2097,Glass Candelabra,510,,,,,
2098,Rich Mahogany Candelabra,1132,,,,,
2099,Pearlwood Candelabra,993,,,,,
2100,Frozen Candelabra,481,,,,,
2101,Lihzahrd Candelabra,727,,,,,
2102,Skyware Candelabra,1254,,,,,
2103,Spooky Candelabra,1335,,,,,
2104,Brain of Cthulhu Mask,,,,,,
2105,Wall of Flesh Mask,,,,,,
2106,Twin Mask,,,,,,
2107,Skeletron Prime Mask,,,,,,
2109,Plantera Mask,,,,,,
2110,Golem Mask,,,,,,
2111,Eater of Worlds Mask,,,,,,
2112,Eye of Cthulhu Mask,,,,,,
2113,Destroyer Mask,,,,,,
2114,Blacksmith Rack,80,81,,,,
2115,Carpentry Rack,218,219,,,,
2116,Helmet Rack,608,609,,,,
2117,Spear Rack,1310,1311,,,,
2118,Sword Rack,1409,1410,,,,
2119,Stone Slab,1396,,,,,
2120,Sandstone Slab,1168,,,,,
2121,Frog,,,,,,
2122,Mallard Duck,,,,,,
2123,Duck,,,,,,
2124,Honey Bathtub,617,,,,,
2125,Steampunk Bathtub,1371,,,,,
2126,Living Wood Bathtub,748,,,,,
2127,Shadewood Bathtub,1186,1187,,,,
2128,Bone Bathtub,104,,,,,
2129,Honey Lamp,631,,,,,
2130,Steampunk Lamp,1384,,,,,
2131,Living Wood Lamp,758,,,,,
2132,Shadewood Lamp,1206,,,,,
2133,Golden Lamp,,,,,,
2134,Bone Lamp,117,,,,,
2135,Living Wood Bookcase,750,,,,,
2136,Shadewood Bookcase,1189,,,,,
2137,Golden Bookcase,,,,,,
2138,Bone Bookcase,107,,,,,
2139,Living Wood Bed,749,,,,,
2140,Bone Bed,105,,,,,
2141,Living Wood Chandelier,754,,,,,
2142,Shadewood Chandelier,1195,,,,,
2143,Golden Chandelier,,,,,,
2144,Bone Chandelier,110,,,,,
2145,Living Wood Lantern,759,,,,,
2146,Shadewood Lantern,1207,,,,,
2147,Golden Lantern,,,,,,
2148,Bone Lantern,,,,,,
2149,Living Wood Candelabra,751,,,,,
2150,Shadewood Candelabra,1192,,,,,
2151,Golden Candelabra,,,,,,
2152,Bone Candelabra,108,,,,,
2153,Living Wood Candle,752,,,,,
2154,Shadewood Candle,1193,,,,,
2155,Golden Candle,,,,,,
2156,Black Scorpion,,,,,,
2157,Scorpion,,,,,,
2158,Bubble Wallpaper,,,,,,
2159,Copper Pipe Wallpaper,,,,,,
2160,Ducky Wallpaper,,,,,,
2161,Frost Core,,,,,,
2162,Bunny Cage,181,,,,,
2163,Squirrel Cage,1356,,,,,
2164,Mallard Duck Cage,778,,,,,
2165,Duck Cage,353,,,,,
2166,Bird Cage,77,,,,,
2167,Blue Jay Cage,97,,,,,
2168,Cardinal Cage,217,,,,,
2169,Waterfall Wall,1529,,,,,
2170,Lavafall Wall,700,,,,,
2171,Crimson Seeds,,,,,,
2172,Heavy Work Bench,603,604,,,,
2173,Copper Plating,296,,,,,
2174,Snail Cage,1291,,,,,
2175,Glowing Snail Cage,530,,,,,
2176,Shroomite Digging Claw,1222,,,,,
2177,Ammo Box,,,,,,
2178,Monarch Butterfly Jar,815,,,,,
2179,Purple Emperor Butterfly Jar,1092,,,,,
2180,Red Admiral Butterfly Jar,1105,,,,,
2181,Ulysses Butterfly Jar,1501,,,,,
2182,Sulphur Butterfly Jar,1399,,,,,
2183,Tree Nymph Butterfly Jar,1478,,,,,
2184,Zebra Swallowtail Butterfly Jar,1580,,,,,
2185,Julia Butterfly Jar,682,,,,,
2186,Scorpion Cage,1183,,,,,
2187,Black Scorpion Cage,79,,,,,
2188,Venom Staff,1506,,,,,
2189,Spectre Mask,1317,,,,,
2190,Frog Cage,472,,,,,
2191,Mouse Cage,817,,,,,
2192,Bone Welder,,,,,,
2193,Flesh Cloning Vat,,,,,,
2194,Glass Kiln,,,,,,
2195,Lihzahrd Furnace,,,,,,
2196,Living Loom,,,,,,
2197,Sky Mill,,,,,,
2198,Ice Machine,,,,,,
2199,Beetle Helmet,71,,,,,
2200,Beetle Scale Mail,73,,,,,
2201,Beetle Shell,74,,,,,
2202,Beetle Leggings,72,,,,,
2203,Steampunk Boiler,,,,,,
2204,Honey Dispenser,,,,,,
2205,Penguin,,,,,,
2206,Penguin Cage,1016,,,,,
2207,Worm Cage,1557,,,,,
2208,Terrarium,1418,,,,,
2209,Super Mana Potion,1405,,,,,
2210,Ebonwood Fence,392,,,,,
2211,Rich Mahogany Fence,1142,,,,,
2212,Pearlwood Fence,1003,,,,,
2213,Shadewood Fence,1202,,,,,
2214,Brick Layer,,,,,,
2215,Extendo Grip,,,,,,
2216,Paint Sprayer,,,,,,
2217,Portable Cement Mixer,,,,,,
2218,Beetle Husk,,,,,,
2219,Celestial Magnet,,,,,,
2220,Celestial Emblem,221,,,,,
2221,Celestial Cuffs,220,,,,,
2222,Peddler's Hat,,,,,,
2223,Pulse Bow,,,,,,
2224,Large Dynasty Lantern,693,,,,,
2225,Dynasty Lamp,367,,,,,
2226,Dynasty Lantern,368,,,,,
2227,Large Dynasty Candle,692,,,,,
2228,Dynasty Chair,360,,,,,
2229,Dynasty Work Bench,370,,,,,
2230,Dynasty Chest,361,362,,,,
2231,Dynasty Bed,356,,,,,
2232,Dynasty Bathtub,354,355,,,,
2233,Dynasty Bookcase,357,,,,,
2234,Dynasty Cup,365,,,,,
2235,Dynasty Bowl,358,,,,,
2236,Dynasty Candle,359,,,,,
2237,Dynasty Clock,363,364,,,,
2238,Golden Clock,,,,,,
2239,Glass Clock,516,517,518,,,
2240,Honey Clock,626,627,,,,
2241,Steampunk Clock,1380,1381,,,,
2242,Fancy Dishes,,,,,,
2243,Glass Bowl,509,,,,,
2244,Wine Glass,1537,,,,,
2245,Living Wood Piano,760,,,,,
2246,Flesh Piano,466,,,,,
2247,Frozen Piano,491,,,,,
2248,Frozen Table,494,,,,,
2249,Honey Chest,624,625,,,,
2250,Steampunk Chest,1378,1379,,,,
2251,Honey Work Bench,636,637,,,,
2252,Frozen Work Bench,496,497,,,,
2253,Steampunk Work Bench,1389,,,,,
2254,Glass Piano,523,,,,,
2255,Honey Piano,633,,,,,
2256,Steampunk Piano,1386,,,,,
2257,Honey Cup,628,,,,,
2258,Chalice,,,,,,
2259,Dynasty Table,369,,,,,
2260,Dynasty Wood,,,,,,
2261,Red Dynasty Shingles,,,,,,
2262,Blue Dynasty Shingles,,,,,,
2263,White Dynasty Wall,1531,,,,,
2264,Blue Dynasty Wall,93,,,,,
2265,Dynasty Door,366,,,,,
2266,Sake,,,,,,
2267,Pad Thai,,,,,,
2268,Pho,,,,,,
2269,Revolver,,,,,,
2270,Gatligator,,,,,,
2271,Arcane Rune Wall,,,,,,
2272,Water Gun,,,,,,
2273,Katana,,,,,,
2274,Ultrabright Torch,,,,,,
2275,Magic Hat,,,,,,
2276,Diamond Ring,,,,,,
2277,Gi,,,,,,
2278,Kimono,,,,,,
2279,Gypsy Robe,,,,,,
2280,Beetle Wings,75,,,,,
2281,Tiger Skin,,,,,,
2282,Leopard Skin,,,,,,
2283,Zebra Skin,,,,,,
2284,Crimson Cloak,,,,,,
2285,Mysterious Cape,,,,,,
2286,Red Cape,,,,,,
2287,Winter Cape,,,,,,
2288,Frozen Chair,483,,,,,
2289,Wood Fishing Pole,1542,,,,,
2290,Bass,,,,,,
2291,Reinforced Fishing Pole,1121,1122,,,,
2292,Fiberglass Fishing Pole,,,,,,
2293,Fisher of Souls,431,,,,,
2294,Golden Fishing Rod,,,,,,
2295,Mechanic's Rod,,,,,,
2296,Sitting Duck's Fishing Pole,,,,,,
2297,Trout,,,,,,
2298,Salmon,,,,,,
2299,Atlantic Cod,,,,,,
2300,Tuna,,,,,,
2301,Red Snapper,,,,,,
2302,Neon Tetra,,,,,,
2303,Armored Cavefish,,,,,,
2304,Damselfish,,,,,,
2305,Crimson Tigerfish,,,,,,
2306,Frost Minnow,,,,,,
2307,Princess Fish,,,,,,
2308,Golden Carp,,,,,,
2309,Specular Fish,,,,,,
2310,Prismite,,,,,,
2311,Variegated Lardfish,,,,,,
2312,Flarefin Koi,,,,,,
2313,Double Cod,,,,,,
2314,Honeyfin,,,,,,
2315,Obsidifish,,,,,,
2316,Shrimp,,,,,,
2317,Chaos Fish,,,,,,
2318,Ebonkoi,,,,,,
2319,Hemopiranha,,,,,,
2320,Rockfish,,,,,,
2321,Stinkfish,,,,,,
2322,Mining Potion,807,,,,,
2323,Heartreach Potion,602,,,,,
2324,Calming Potion,211,,,,,
2325,Builder Potion,179,,,,,
2326,Titan Potion,1446,,,,,
2327,Flipper Potion,471,,,,,
